date,n_positions,gross_return,cost_drag,net_return,equity
2017-05-08,0,0.0,0.0,0.0,1000000.0
2017-05-09,0,0.0,0.0,0.0,1000000.0
2017-05-11,0,0.0,0.0,0.0,1000000.0
2017-05-15,1,-0.008338296605122086,0.006522900536033353,-0.01486119714115544,985138.8028588446
2017-05-16,0,0.0,0.0,0.0,985138.8028588446
2017-05-17,0,0.0,0.0,0.0,985138.8028588446
2017-05-18,0,0.0,0.0,0.0,985138.8028588446
2017-05-21,0,0.0,0.0,0.0,985138.8028588446
2017-05-22,0,0.0,0.0,0.0,985138.8028588446
2017-05-23,0,0.0,0.0,0.0,985138.8028588446
2017-05-24,0,0.0,0.0,0.0,985138.8028588446
2017-05-28,0,0.0,0.0,0.0,985138.8028588446
2017-05-30,0,0.0,0.0,0.0,985138.8028588446
2017-05-31,0,0.0,0.0,0.0,985138.8028588446
2017-06-01,0,0.0,0.0,0.0,985138.8028588446
2017-06-04,0,0.0,0.0,0.0,985138.8028588446
2017-06-05,0,0.0,0.0,0.0,985138.8028588446
2017-06-06,0,0.0,0.0,0.0,985138.8028588446
2017-06-07,0,0.0,0.0,0.0,985138.8028588446
2017-06-08,0,0.0,0.0,0.0,985138.8028588446
2017-06-11,0,0.0,0.0,0.0,985138.8028588446
2017-06-12,0,0.0,0.0,0.0,985138.8028588446
2017-06-13,0,0.0,0.0,0.0,985138.8028588446
2017-06-14,1,-0.00919540229885063,0.0065208692117290756,-0.015716271510579707,969656.0939575075
2017-06-15,0,0.0,0.0,0.0,969656.0939575075
2017-06-18,0,0.0,0.0,0.0,969656.0939575075
2017-06-19,0,0.0,0.0,0.0,969656.0939575075
2017-06-20,0,0.0,0.0,0.0,969656.0939575075
2017-06-21,0,0.0,0.0,0.0,969656.0939575075
2017-06-22,1,0.0253623188405796,0.006633992209843053,0.01872832663073655,987816.1300046279
2017-06-25,1,-0.010600706713780883,0.006516164410562552,-0.017116871124343437,970907.8086127909
2017-06-27,0,0.0,0.0,0.0,970907.8086127909
2017-06-28,0,0.0,0.0,0.0,970907.8086127909
2017-07-02,0,0.0,0.0,0.0,970907.8086127909
2017-07-03,1,0.005192878338278861,0.00656837504995478,-0.001375496711675919,969572.3281147035
2017-07-04,0,0.0,0.0,0.0,969572.3281147035
2017-07-05,0,0.0,0.0,0.0,969572.3281147035
2017-07-06,0,0.0,0.0,0.0,969572.3281147035
2017-07-09,0,0.0,0.0,0.0,969572.3281147035
2017-07-10,0,0.0,0.0,0.0,969572.3281147035
2017-07-11,1,0.00863213811420982,0.006579623577393261,0.0020525145368165583,971562.3894126541
2017-07-12,0,0.0,0.0,0.0,971562.3894126541
