date,n_positions,gross_return,cost_drag,net_return,equity
2017-05-08,0,0.0,0.0,0.0,1000000.0
2017-05-09,0,0.0,0.0,0.0,1000000.0
2017-05-11,0,0.0,0.0,0.0,1000000.0
2017-05-15,0,0.0,0.0,0.0,1000000.0
2017-05-16,0,0.0,0.0,0.0,1000000.0
2017-05-17,0,0.0,0.0,0.0,1000000.0
2017-05-18,0,0.0,0.0,0.0,1000000.0
2017-05-21,0,0.0,0.0,0.0,1000000.0
2017-05-22,0,0.0,0.0,0.0,1000000.0
2017-05-23,0,0.0,0.0,0.0,1000000.0
2017-05-24,0,0.0,0.0,0.0,1000000.0
2017-05-28,0,0.0,0.0,0.0,1000000.0
2017-05-30,0,0.0,0.0,0.0,1000000.0
2017-05-31,0,0.0,0.0,0.0,1000000.0
2017-06-01,0,0.0,0.0,0.0,1000000.0
2017-06-04,0,0.0,0.0,0.0,1000000.0
2017-06-05,0,0.0,0.0,0.0,1000000.0
2017-06-06,0,0.0,0.0,0.0,1000000.0
2017-06-07,0,0.0,0.0,0.0,1000000.0
2017-06-08,0,0.0,0.0,0.0,1000000.0
2017-06-11,0,0.0,0.0,0.0,1000000.0
2017-06-12,0,0.0,0.0,0.0,1000000.0
2017-06-13,0,0.0,0.0,0.0,1000000.0
2017-06-14,0,0.0,0.0,0.0,1000000.0
2017-06-15,0,0.0,0.0,0.0,1000000.0
2017-06-18,0,0.0,0.0,0.0,1000000.0
2017-06-19,0,0.0,0.0,0.0,1000000.0
2017-06-20,0,0.0,0.0,0.0,1000000.0
2017-06-21,0,0.0,0.0,0.0,1000000.0
2017-06-22,1,0.0253623188405796,0.006632427536231884,0.018729891304347716,1018729.8913043477
2017-06-25,1,-0.010600706713780883,0.006514628426566056,-0.017115335140346938,1001293.9877971846
2017-06-27,0,0.0,0.0,0.0,1001293.9877971846
2017-06-28,0,0.0,0.0,0.0,1001293.9877971846
2017-07-02,0,0.0,0.0,0.0,1001293.9877971846
2017-07-03,0,0.0,0.0,0.0,1001293.9877971846
2017-07-04,0,0.0,0.0,0.0,1001293.9877971846
2017-07-05,0,0.0,0.0,0.0,1001293.9877971846
2017-07-06,0,0.0,0.0,0.0,1001293.9877971846
2017-07-09,0,0.0,0.0,0.0,1001293.9877971846
2017-07-10,0,0.0,0.0,0.0,1001293.9877971846
2017-07-11,0,0.0,0.0,0.0,1001293.9877971846
2017-07-12,0,0.0,0.0,0.0,1001293.9877971846
2017-07-13,0,0.0,0.0,0.0,1001293.9877971846
2017-07-16,0,0.0,0.0,0.0,1001293.9877971846
2017-07-17,0,0.0,0.0,0.0,1001293.9877971846
