date,n_positions,gross_return,cost_drag,net_return,equity
2017-05-08,0,0.0,0.0,0.0,1000000.0
2017-05-09,0,0.0,0.0,0.0,1000000.0
2017-05-11,2,-0.0009523809523809268,0.0068949567099567104,-0.007847337662337637,992152.6623376624
2017-05-15,1,-0.008338296605122086,0.006523296006305229,-0.014861592611427315,977407.6936616572
2017-05-16,1,-0.009803921568627416,0.006519292980730847,-0.016323214549358263,961453.2581758245
2017-05-17,0,0.0,0.0,0.0,961453.2581758245
2017-05-18,1,-0.017629179331307032,0.0064947097753794425,-0.024123889106686475,938259.2663943286
2017-05-21,0,0.0,0.0,0.0,938259.2663943286
2017-05-22,1,0.0034965034965035446,0.006564653810829109,-0.0030681503143255642,935380.5459312219
2017-05-23,3,0.00269613888569283,0.007069664218928868,-0.004373525333236037,931289.6354173756
2017-05-24,0,0.0,0.0,0.0,931289.6354173756
2017-05-28,0,0.0,0.0,0.0,931289.6354173756
2017-05-30,0,0.0,0.0,0.0,931289.6354173756
2017-05-31,0,0.0,0.0,0.0,931289.6354173756
2017-06-01,0,0.0,0.0,0.0,931289.6354173756
2017-06-04,0,0.0,0.0,0.0,931289.6354173756
2017-06-05,0,0.0,0.0,0.0,931289.6354173756
2017-06-06,0,0.0,0.0,0.0,931289.6354173756
2017-06-07,0,0.0,0.0,0.0,931289.6354173756
2017-06-08,0,0.0,0.0,0.0,931289.6354173756
2017-06-11,0,0.0,0.0,0.0,931289.6354173756
2017-06-12,0,0.0,0.0,0.0,931289.6354173756
2017-06-13,0,0.0,0.0,0.0,931289.6354173756
2017-06-14,1,-0.00919540229885063,0.0065238039326113864,-0.015719206231462016,916650.5015770268
2017-06-15,0,0.0,0.0,0.0,916650.5015770268
2017-06-18,0,0.0,0.0,0.0,916650.5015770268
2017-06-19,0,0.0,0.0,0.0,916650.5015770268
2017-06-20,0,0.0,0.0,0.0,916650.5015770268
2017-06-21,1,0.047040971168436974,0.0067074295727494685,0.04033354159568751,953622.2627110917
2017-06-22,1,0.0253623188405796,0.006634859198070244,0.018727459642509357,971481.185150212
2017-06-25,1,-0.010600706713780883,0.006517015503858482,-0.017117722217639367,954851.6400831476
2017-06-27,0,0.0,0.0,0.0,954851.6400831476
2017-06-28,0,0.0,0.0,0.0,954851.6400831476
2017-07-02,0,0.0,0.0,0.0,954851.6400831476
2017-07-03,1,0.005192878338278861,0.006569241010349975,-0.001376362672071114,953537.4179283712
2017-07-04,1,-0.0036900369003689537,0.006540443707227724,-0.010230480607596678,943782.2718656372
2017-07-05,0,0.0,0.0,0.0,943782.2718656372
