date,equity
2017-11-09,810703.498850895
2017-11-12,817348.4839116067
2017-11-13,831250.2438018881
2017-11-14,845689.1416385842
2017-11-15,836725.1319741283
2017-11-16,831787.7178875817
2017-11-19,832434.2685086706
2017-11-20,821750.073221023
2017-11-21,832223.2972488132
2017-11-22,838674.8038448679
2017-11-23,837307.2533143
2017-11-26,836121.504817204
2017-11-27,832880.415826083
2017-11-28,836862.2232844634
2017-11-29,837166.6489990393
2017-11-30,837452.7446947788
2017-12-04,833435.652210665
2017-12-05,832929.4078371851
2017-12-06,837843.8767647028
2017-12-10,816228.3588567289
2017-12-11,817842.5595394798
2017-12-12,811941.5117001011
2017-12-13,837206.7738104075
2017-12-14,841031.6299512261
2017-12-17,805733.800280991
2017-12-18,805819.2326386077
2017-12-19,801029.3456654222
2017-12-20,797180.0263339925
2017-12-21,789624.5596862016
2017-12-24,788634.6016424628
2017-12-26,780033.9302324051
2017-12-27,769891.7167575625
2017-12-28,752162.5926105604
2017-12-31,741111.0468305424
2018-01-01,761410.3630056042
2018-01-02,757138.4210448352
2018-01-03,750306.1488937422
2018-01-04,753641.6054732503
2018-01-07,805275.6458405772
2018-01-08,767413.9875130419
2018-01-09,774050.8703431473
2018-01-10,775413.1913813812
2018-01-14,762660.24083206
2018-01-16,750391.6315582823
2018-01-17,786712.7252998996
2018-01-21,749957.9748671396
2018-01-22,751055.4256522693
2018-01-23,750187.7557720409
2018-01-24,747141.7498125145
2018-01-25,752421.2781457274
2018-01-28,754938.8647647663
2018-01-29,754342.9540413779
2018-01-31,753915.1061225143
2018-02-01,770360.3868561061
2018-02-04,738121.6219450298
2018-02-05,731984.6079871167
2018-02-06,729725.1128935326
2018-02-07,724828.7677902525
2018-02-08,729303.857846735
2018-02-11,756819.159014559
2018-02-12,719658.6714471242
2018-02-14,726148.8872709444
2018-02-15,749739.9596363063
2018-02-18,738307.0661321795
2018-02-20,732096.6648996086
2018-02-21,728593.9855214768
2018-02-22,726168.5797788041
2018-02-25,720779.5484843991
2018-02-26,713689.3769044239
2018-02-27,716345.5340494714
2018-02-28,709342.9056671673
2018-03-04,685948.2394670025
2018-03-05,676216.1295389895
2018-03-06,682810.3575178648
2018-03-07,691853.0006939447
2018-03-11,676043.3204069883
2018-03-12,672927.5871806311
2018-03-13,669808.6416785349
2018-03-14,707535.1451711189
2018-03-15,673781.1872946494
2018-03-18,671101.2631043901
2018-03-19,667535.0449552032
2018-03-20,655748.253854363
2018-03-21,643157.4191182394
2018-03-22,638789.4576129825
2018-03-26,611865.4825954019
2018-03-27,634699.5181650602
2018-03-28,609954.5432748882
2018-03-29,618718.4463522374
2018-04-01,606619.4654159818
2018-04-02,604531.4372237334
2018-04-03,603490.8492952808
2018-04-04,622833.8219410246
2018-04-05,633323.7666099133
2018-04-08,661560.481526243
2018-04-09,657973.509539506
2018-04-10,647173.6472425801
2018-04-11,648277.9868205214
2018-04-12,650869.4751280403
2018-04-15,653292.503003746
2018-04-16,665964.8874270744
2018-04-17,685358.7854601564
2018-04-18,698374.7417414779
2018-04-19,702375.7996540908
2018-04-22,726317.9036884845
2018-04-23,711376.7982983066
2018-04-24,704980.1958358694
2018-04-25,701081.7212145639
2018-04-26,689754.8695878936
2018-04-29,685139.7867688219
2018-05-02,693801.0899258784
2018-05-03,695467.2558166824
2018-05-06,689465.3976477318
2018-05-07,682994.7473541831
2018-05-08,690369.9569000406
2018-05-09,687173.3706993288
2018-05-10,684557.7969117581
2018-05-14,678710.3324056068
2018-05-15,679416.0254752636
2018-05-16,712803.1517171048
2018-05-17,678426.8594333444
2018-05-20,679526.037536705
2018-05-21,714827.5341757159
2018-05-22,677013.517855615
2018-05-23,710458.945706386
2018-05-24,669647.1016963967
2018-05-27,662179.2934057689
2018-05-28,683547.8388968747
2018-05-29,678159.5278819771
2018-05-30,680484.6251792974
2018-05-31,673492.7379076524
2018-06-03,657387.9748039135
2018-06-04,650831.1498073069
2018-06-06,659813.987020354
2018-06-07,650545.6292575815
2018-06-10,636620.6050055772
2018-06-11,679527.4728470454
2018-06-12,640886.8782534712
2018-06-13,641460.8614066448
2018-06-14,642159.8644681391
2018-06-17,634697.8445117075
2018-06-18,676826.8544523241
2018-06-19,632605.8672092194
2018-06-20,629321.2079971413
2018-06-21,630538.9043393707
2018-06-24,628108.1086141763
2018-06-25,626788.2776885912
2018-06-26,620446.6051502196
2018-06-27,620600.6351295424
2018-06-28,621562.0343928626
2018-07-01,612616.9906508634
2018-07-02,613301.4617258696
2018-07-03,649363.6350131382
2018-07-04,613856.104883678
2018-07-05,632190.9305704866
2018-07-08,628333.1290906393
2018-07-09,623660.6625664196
2018-07-10,623538.4405612296
2018-07-11,625979.9936495245
2018-07-12,616067.0116251665
2018-07-15,622694.9051406664
2018-07-16,632451.94694053
2018-07-17,620945.9156723395
2018-07-18,617070.5416365671
2018-07-19,613284.2295670997
2018-07-22,604287.5511263739
2018-07-23,613334.8963086716
2018-07-24,613868.313922417
2018-07-25,611456.5822555763
2018-07-26,610372.449831858
2018-07-29,610467.6143565289
2018-07-30,650487.0737907551
2018-07-31,608760.1413025095
2018-08-01,652016.2751213775
2018-08-02,609097.2084083989
2018-08-05,609923.4642122514
2018-08-06,611944.9196377757
2018-08-07,612065.2184567598
2018-08-08,612562.6847191865
2018-08-09,608716.6833417494
2018-08-12,597419.1881883107
2018-08-13,602050.0329094995
2018-08-14,605511.8925603091
2018-08-15,616057.5869195289
2018-08-16,615384.1529649495
2018-08-19,609930.303814275
2018-08-20,607302.1165490975
2018-08-21,604740.4041076828
2018-08-22,604873.2975319437
2018-08-23,601968.8937718265
2018-08-26,599759.1434966973
2018-08-28,600023.7382057424
2018-08-29,598151.9609017179
2018-08-30,600641.434285404
2018-09-02,605080.5425904107
2018-09-03,611739.106033983
2018-09-04,610508.0247981012
2018-09-05,620771.5299224484
2018-09-06,617549.3247943105
2018-09-09,612054.9244358919
2018-09-10,652273.5005676736
2018-09-11,611439.0215062507
2018-09-12,618300.3410574096
2018-09-13,616099.1842758913
2018-09-16,622434.7816198138
2018-09-17,622871.0997867163
2018-09-18,627414.4816989591
2018-09-20,620799.8098316217
2018-09-23,621960.0716167704
2018-09-25,624916.1808550138
2018-09-26,624610.3318688422
2018-09-27,620812.5612971673
2018-09-30,617205.9322458709
2018-10-01,611966.1000566379
2018-10-02,613316.1002973074
2018-10-03,611371.0655541967
2018-10-04,656037.5591409482
2018-10-07,605900.1757996457
2018-10-08,608540.3300779919
2018-10-09,606719.8842603809
